"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen"
"Onderwerpen";"Codering";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens"
"Onderwerpen";"Codering";"Aantal inkomensontvangers  ";"Gemiddeld inkomen per inkomensontvanger ";"Gemiddeld inkomen per inwoner ";"40% personen met laagste inkomen";"20% personen met hoogste inkomen";"Actieven 15-75 jaar";"40% huishoudens met laagste inkomen";"20% huishoudens met hoogste inkomen";"Huishoudens met een laag inkomen";"Huish. onder of rond sociaal minimum"
"Wijken en buurten";"code";"aantal";"x 1 000 euro";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%"
"Wijk 01 Oost";"WK000901";"1000";"27.8";"20.4";"36";"18";"64";"35";"20";"8";"6"
"Ten Post";"BU00090100";"500";"28.3";"20.6";"35";"18";"65";"35";"18";"6";"4"
"Winneweer (gedeeltelijk)";"BU00090101";"100";".";".";".";".";".";".";".";".";"."
"Woltersum";"BU00090102";"200";"26.8";"19.9";"37";"15";"58";"45";"17";"8";"6"
"Wittewierum";"BU00090104";"0";".";".";".";".";".";".";".";".";"."
"Lellens";"BU00090106";"0";".";".";".";".";".";".";".";".";"."
"Verspr.h. ten noorden van het Eemskanaal";"BU00090109";"100";"25.6";"19.0";"42";"18";"68";".";".";".";"."
"Delfzijl";"GM0010";"19600";"26.0";"20.5";"44";"15";"52";"44";"14";"11";"9"
"Wijk 00 Stad";"WK001000";"13300";"25.4";"20.3";"46";"14";"50";"48";"12";"13";"11"
"Delfzijl-Centrum";"BU00100000";"700";"21.8";"20.4";"52";"9";"42";"67";"5";"13";"13"
"Farmsum";"BU00100001";"1800";"27.2";"22.1";"42";"17";"56";"43";"16";"9";"8"
"Delfzijl-Noord";"BU00100002";"4700";"22.4";"17.7";"53";"10";"43";"56";"7";"19";"15"
