"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen"
"Onderwerpen";"Codering";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens"
"Onderwerpen";"Codering";"Aantal inkomensontvangers  ";"Gemiddeld inkomen per inkomensontvanger ";"Gemiddeld inkomen per inwoner ";"40% personen met laagste inkomen";"20% personen met hoogste inkomen";"Actieven 15-75 jaar";"40% huishoudens met laagste inkomen";"20% huishoudens met hoogste inkomen";"Huishoudens met een laag inkomen";"Huish. onder of rond sociaal minimum"
"Wijken en buurten";"code";"aantal";"x 1 000 euro";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%"
"Wipstrik-Noord";"BU01931200";"2300";"38.0";"28.8";"26";"33";"69";"24";"34";"3";"2"
"Wipstrik-Zuid";"BU01931210";"2800";"27.6";"22.6";"41";"16";"56";"56";"13";"14";"10"
"Wijk 13 Assendorp";"WK019313";"9900";"27.2";"22.0";"40";"18";"61";"54";"13";"11";"8"
"Stationsbuurt";"BU01931300";"1100";"30.0";"24.5";"47";"23";"55";"61";"20";"14";"10"
"Oud-Assendorp";"BU01931310";"3400";"25.9";"21.8";"42";"17";"63";"59";"10";"9";"7"
"Nieuw-Assendorp";"BU01931320";"2300";"27.1";"20.5";"38";"18";"62";"48";"15";"10";"8"
"Wezenlanden";"BU01931330";"500";"27.2";"23.7";"40";"12";"48";"64";"7";"12";"10"
"Pierik";"BU01931340";"1600";"25.3";"19.8";"40";"13";"60";"54";"9";"16";"12"
"Bedrijventerrein Marslanden-Noord";"BU01931350";"0";".";".";".";".";".";".";".";".";"."
"Hanzeland";"BU01931360";"800";"33.0";"28.0";"33";"27";"61";"37";"23";"4";"4"
"Wijk 14 Kamperpoort-Veerallee";"WK019314";"2100";"27.8";"22.8";"48";"18";"52";"64";"16";"14";"10"
"Kamperpoort";"BU01931400";"1100";"19.0";"16.9";"58";"5";"45";"80";"3";"18";"14"
"Veerallee";"BU01931410";"1100";"36.4";"27.7";"38";"31";"58";"45";"30";"9";"6"
"Wijk 20 Poort van Zwolle";"WK019320";"300";"30.1";"24.1";"38";"22";"58";"38";"27";"10";"9"
"Bedrijventerrein Voorst-A";"BU01932000";"100";".";".";".";".";".";".";".";".";"."
"Bedrijventerrein Voorst-B";"BU01932010";"0";".";".";".";".";".";".";".";".";"."
"Spoolde";"BU01932020";"200";"32.7";"24.9";"35";"27";"57";"21";"38";"4";"3"
"Wijk 21 Westenholte";"WK019321";"4000";"27.3";"20.6";"40";"18";"61";"29";"20";"7";"5"
"Oud-Westenholte";"BU01932100";"1700";"26.7";"19.9";"40";"16";"63";"30";"18";"6";"4"
"Westenholte-Stins";"BU01932110";"2100";"27.6";"20.9";"38";"19";"61";"30";"20";"8";"5"
"Vreugderijk";"BU01932120";"100";"30.8";"24.6";"45";"18";"60";".";".";".";"."
"Bedrijventerrein Voorst-C";"BU01932130";"0";".";".";".";".";".";".";".";".";"."
"Bedrijventerrein Voorst-D";"BU01932140";"0";".";".";".";".";".";".";".";".";"."
"Wijk 22 Stadshagen";"WK019322";"14700";"33.6";"22.5";"29";"27";"72";"24";"26";"7";"5"
"Frankhuis";"BU01932200";"3800";"34.0";"21.4";"29";"28";"75";"20";"31";"6";"5"
"Mastenbroek";"BU01932210";"0";".";".";".";".";".";".";".";".";"."
"Schoonhorst";"BU01932220";"3200";"31.6";"22.9";"31";"24";"68";"28";"21";"8";"6"
"Werkeren";"BU01932230";"2300";"37.9";"23.1";"22";"31";"81";"18";"33";"5";"4"
"Millingen";"BU01932240";"4800";"33.3";"23.1";"30";"26";"69";"24";"24";"6";"5"
"Tippe bij de Ijssel";"BU01932250";"0";".";".";".";".";".";".";".";".";"."
"Breecamp";"BU01932260";"500";"28.1";"18.6";"32";"17";"72";"37";"14";"14";"10"
"Breezicht";"BU01932270";"0";".";".";".";".";".";".";".";".";"."
"Stadsbroek";"BU01932280";"0";".";".";".";".";".";".";".";".";"."
"Wijk 30 Holtenbroek";"WK019330";"7400";"22.9";"18.0";"46";"9";"54";"58";"6";"17";"13"
"Holtenbroek IV";"BU01933000";"2400";"21.2";"17.6";"52";"7";"45";"63";"5";"16";"14"
"Holtenbroek I";"BU01933010";"1300";"28.4";"21.8";"32";"18";"67";"43";"11";"10";"6"
"Holtenbroek II";"BU01933020";"1900";"22.4";"17.2";"46";"8";"54";"62";"4";"19";"14"
"Holtenbroek III";"BU01933030";"1800";"21.9";"16.7";"48";"7";"55";"56";"6";"20";"15"
"Wijk 31 Aalanden";"WK019331";"10200";"27.1";"21.7";"39";"16";"52";"39";"14";"9";"7"
"Aalanden-Zuid";"BU01933100";"1800";"23.3";"18.6";"45";"10";"48";"49";"9";"12";"9"
"Aalanden-Midden";"BU01933110";"2900";"26.2";"21.5";"39";"14";"51";"51";"9";"12";"9"
"Aalanden-Noord";"BU01933120";"2900";"29.6";"23.2";"37";"20";"54";"27";"20";"6";"4"
"Aalanden-Oost";"BU01933130";"2600";"28.1";"22.5";"37";"18";"54";"30";"19";"8";"5"
"Wijk 32 Vechtlanden";"WK019332";"800";"46.1";"36.9";"34";"31";"57";"16";"50";"5";"5"
"Brinkhoek";"BU01933200";"500";"54.1";"44.0";"34";"37";"50";"18";"50";"7";"6"
"Langenholte";"BU01933210";"100";".";"30.7";".";".";".";".";".";".";"."
"Haerst";"BU01933220";"200";"32.0";"25.2";"34";"18";"66";"14";"46";"4";"4"
"Wijk 40 Berkum";"WK019340";"3300";"32.5";"25.7";"39";"23";"56";"29";"26";"5";"4"
"Berkum";"BU01934000";"2800";"32.4";"25.6";"39";"24";"55";"29";"26";"5";"5"
"Bedrijventerrein de Vrolijkheid";"BU01934010";"0";".";".";".";".";".";".";".";".";"."
"Veldhoek";"BU01934020";"200";"45.4";"35.9";"41";"33";"60";".";".";".";"."
"Kantorenterrein-Oosterenk";"BU01934030";"0";".";".";".";".";".";".";".";".";"."
"Bedrijventerrein Hessenpoort";"BU01934040";"100";".";".";".";".";".";".";".";".";"."
"Tolhuislanden";"BU01934050";"100";"21.7";"16.6";"47";"11";"62";".";".";".";"."
"Wijk 41 Marsweteringlanden";"WK019341";"800";"26.8";"21.2";"43";"19";"61";"24";"31";"7";"4"
"Herfte";"BU01934100";"300";"27.7";"22.2";"46";"23";"59";"23";"41";"10";"7"
"Bedrijventerrein Marslanden-Zuid";"BU01934110";"0";".";".";".";".";".";".";".";".";"."
"Wijthmen";"BU01934120";"500";"26.3";"20.8";"40";"16";"62";"24";"26";"5";"3"
"Wijk 50 Schelle";"WK019350";"11200";"32.7";"25.2";"34";"26";"62";"26";"31";"6";"5"
"Oud Schelle";"BU01935000";"900";"33.0";"24.5";"37";"28";"63";"25";"35";"5";"4"
"Schellerhoek";"BU01935010";"800";"34.6";"25.6";"30";"33";"66";"10";"45";"2";"2"
"Schellerbroek";"BU01935020";"1200";"31.6";"26.4";"35";"26";"57";"31";"27";"6";"4"
"Schellerlanden";"BU01935030";"2300";"31.1";"25.2";"36";"26";"58";"26";"29";"6";"5"
"Oldenelerlanden-Oost";"BU01935040";"1900";"29.3";"22.2";"34";"22";"64";"26";"23";"7";"6"
"Oldenelerlanden-West";"BU01935050";"1100";"34.5";"26.4";"34";"27";"62";"20";"39";"7";"5"
"Oldenelerbroek";"BU01935060";"2500";"32.8";"24.9";"33";"25";"63";"31";"27";"7";"5"
"Schelle-Zuid en Oldeneel";"BU01935070";"100";"38.5";"27.4";"39";"28";"53";".";".";".";"."
"Katerveer-Engelse Werk";"BU01935080";"400";"48.8";"35.1";"28";"41";"67";"12";"59";"1";"1"
"Wijk 51 Ittersum";"WK019351";"11300";"28.9";"21.9";"37";"20";"62";"33";"20";"8";"6"
"Oud Ittersum";"BU01935100";"1000";"28.1";"21.4";"36";"18";"63";"26";"20";"4";"3"
"Ittersumerlanden";"BU01935110";"2900";"25.6";"20.1";"40";"14";"60";"44";"10";"11";"8"
"Ittersumerbroek";"BU01935120";"1900";"32.3";"24.6";"36";"27";"62";"29";"31";"6";"5"
"Geren";"BU01935130";"700";"24.1";"20.3";"45";"11";"56";"65";"9";"20";"12"
"Gerenlanden";"BU01935140";"2400";"30.0";"22.3";"36";"23";"62";"23";"28";"6";"4"
"Gerenbroek";"BU01935150";"2400";"30.6";"22.2";"33";"24";"67";"19";"25";"5";"4"
"Oude Mars";"BU01935160";"0";".";".";".";".";".";".";".";".";"."
"Wijk 52 Soestweteringlanden";"WK019352";"600";"31.3";"24.0";"40";"24";"60";"22";"30";"3";"4"
"Windesheim";"BU01935200";"300";"28.0";"21.7";"39";"22";"61";"22";"25";"3";"5"
"Harculo en Hoogzutmen";"BU01935210";"300";"35.1";"26.7";"41";"26";"60";"23";"37";"4";"4"
"Rijnwaarden";"GM0196";"8400";"26.0";"20.4";"42";"14";"58";"39";"16";"9";"6"
"Wijk 00 Herwen en Aerdt";"WK019600";"6500";"26.1";"20.4";"42";"14";"58";"40";"15";"9";"7"
"Lobith";"BU01960000";"2400";"24.2";"18.8";"44";"11";"55";"46";"11";"12";"9"
"Tolkamer";"BU01960001";"1800";"27.7";"21.6";"38";"17";"60";"38";"18";"9";"7"
"Spijk";"BU01960002";"400";"23.2";"18.6";"45";"9";"53";"48";"10";"12";"9"
"Herwen";"BU01960003";"600";"26.0";"20.6";"43";"15";"59";"38";"14";"6";"4"
"Aerdt";"BU01960004";"400";"28.0";"22.0";"41";"20";"55";"29";"22";"4";"3"
"Verspreide huizen Spijk";"BU01960005";"100";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Herwen";"BU01960006";"200";"26.9";"22.4";"46";"18";"59";".";".";".";"."
"Verspreide huizen Aerdt";"BU01960007";"200";"24.7";"20.5";"44";"15";"56";"33";"21";"7";"5"
"Verspreide huizen Gelderse Waard";"BU01960008";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Geitenwaard";"BU01960009";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Bijland";"BU01960010";"200";"31.4";"20.9";"26";"21";"82";"21";"15";"3";"3"
"Verspreide huizen Reimerswaard";"BU01960011";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Ossenwaard";"BU01960012";"100";".";"25.7";".";".";".";".";".";".";"."
"Verspreide huizen Spijkse Buitenland";"BU01960013";"0";".";".";".";".";".";".";".";".";"."
"Wijk 01 Pannerden";"WK019601";"1900";"26.0";"20.5";"44";"14";"58";"33";"18";"6";"4"
"Pannerden";"BU01960100";"1600";"25.7";"20.1";"43";"13";"59";"34";"16";"6";"4"
"Verspreide huizen Pannerden";"BU01960101";"200";"27.4";"22.0";"48";"21";"57";".";".";".";"."
"Verspreide huizen Pannerdense Waard";"BU01960108";"100";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Lobberdense Waard";"BU01960109";"0";".";".";".";".";".";".";".";".";"."
"Aalten";"GM0197";"20600";"25.8";"20.0";"42";"13";"61";"37";"16";"7";"5"
"Wijk 01 Buitengebied Aalten";"WK019701";"3100";"26.1";"19.9";"45";"15";"64";"27";"30";"8";"6"
"Barlo-Kern";"BU01970101";"100";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Barlo";"BU01970102";"400";"26.8";"19.8";"43";"16";"65";"30";"33";"12";"7"
"Verspreide huizen Heurne";"BU01970103";"300";"25.7";"20.2";"42";"16";"65";"26";"28";"10";"7"
"Verspreide huizen IJzerlo";"BU01970104";"400";"25.8";"20.3";"47";"16";"66";"28";"33";"7";"5"
"Ijzerlo-kern";"BU01970105";"100";"27.5";"20.0";"39";"14";"63";".";".";".";"."
"Lintelo-kern";"BU01970106";"100";"25.0";"22.3";"45";"17";"66";".";".";".";"."
"Verspreide huizen ten westen van Aalten";"BU01970107";"200";"26.1";"19.0";"45";"12";"66";"36";"27";".";"."
"Verspreide huizen Lintelo";"BU01970108";"500";"24.7";"19.2";"45";"13";"64";"23";"32";"6";"5"
"Verspreide huizen Dalese Veld";"BU01970109";"100";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Dale";"BU01970110";"500";"27.9";"21.1";"47";"19";"61";"27";"26";"8";"6"
"Verspreide huizen Haart";"BU01970111";"500";"25.0";"18.7";"44";"12";"63";"31";"32";"10";"8"
"Haart-kern";"BU01970112";"100";".";".";".";".";".";".";".";".";"."
"Wijk 02 Bredevoort";"WK019702";"1500";"26.3";"20.5";"40";"14";"64";"35";"19";"7";"5"
"Verspreide huizen Bredevoort";"BU01970201";"200";"28.0";"22.4";"40";"16";"62";".";".";".";"."
"Verspreide huizen Hollenberg";"BU01970202";"200";"25.3";"21.0";"46";"12";"64";".";".";".";"."
"Verspreide huizen Het Zwanenbroek";"BU01970203";"100";".";".";".";".";".";".";".";".";"."
"Bredevoort";"BU01970204";"1100";"25.9";"20.1";"39";"13";"64";"38";"14";"8";"6"
"Wijk 03 Aalten Kern";"WK019703";"9800";"25.9";"20.1";"42";"13";"61";"39";"13";"6";"5"
"Aalten-kern West";"BU01970301";"1600";"24.7";"19.0";"42";"12";"58";"37";"10";"6";"5"
"Aalten-kern Zuid 1";"BU01970302";"1800";"24.0";"18.5";"44";"10";"62";"41";"10";"7";"5"
"Aalten-kern Zuid 2";"BU01970303";"1100";"26.6";"19.7";"39";"16";"64";"24";"19";"6";"4"
"Aalten-kern Noord/Noordoost";"BU01970304";"2100";"27.0";"21.5";"43";"14";"62";"39";"15";"5";"5"
"Aalten Kern 't Kobus";"BU01970305";"500";"35.9";"22.9";"28";"30";"76";"15";"34";"3";"2"
"Aalten-kern Oost";"BU01970306";"800";"24.4";"18.4";"39";"11";"61";"32";"11";"6";"4"
"Aalten-kern Centrum";"BU01970307";"1800";"25.5";"21.5";"47";"13";"57";"55";"11";"9";"7"
"Wijk 04 Dinxperlo";"WK019704";"6300";"25.4";"19.9";"42";"12";"59";"37";"14";"7";"5"
"Dinxperlo Centrum/Oost";"BU01970400";"2100";"23.6";"19.0";"47";"8";"58";"48";"10";"8";"6"
"Dinxperlo Noord";"BU01970401";"1400";"26.3";"20.6";"40";"14";"56";"33";"15";"7";"4"
"Dinxperlo West";"BU01970402";"1900";"26.2";"19.8";"39";"14";"62";"31";"15";"6";"4"
"De Heurne-kern";"BU01970403";"200";"25.5";"19.7";"40";"13";"64";"26";"14";"6";"5"
"Verspreide huizen Dinxperlo";"BU01970408";"200";"29.1";"23.4";"42";"20";"58";".";".";".";"."
"Verspreide huizen De Heurne";"BU01970409";"500";"26.7";"20.7";"42";"17";"61";"29";"30";"5";"4"
"Apeldoorn";"GM0200";"119900";"29.7";"23.2";"38";"20";"59";"37";"20";"9";"7"
"Wijk 01 Apeldoorn Centrum";"WK020001";"5400";"28.3";"25.3";"37";"17";"59";"56";"10";"12";"9"
"Binnenstad";"BU02000101";"4200";"28.0";"25.2";"37";"16";"59";"59";"9";"13";"10"
"De Haven";"BU02000102";"1300";"29.6";"25.7";"35";"20";"58";"47";"13";"10";"8"
"Wijk 02 Apeldoorn West";"WK020002";"16700";"33.0";"26.4";"37";"24";"57";"38";"24";"8";"7"
"Brinkhorst";"BU02000201";"2500";"29.3";"24.0";"39";"21";"59";"44";"19";"9";"7"
"Sprengenweg-Noord";"BU02000202";"900";"34.7";"29.5";"36";"27";"51";"36";"24";"5";"5"
"Sprengenbos";"BU02000203";"3300";"36.5";"28.7";"31";"30";"61";"31";"29";"5";"3"
"Berg en Bos";"BU02000204";"1500";"57.1";"44.2";"31";"46";"49";"14";"57";"4";"4"
"Driehuizen";"BU02000205";"3600";"31.0";"25.1";"35";"22";"62";"34";"23";"6";"5"
"Orden";"BU02000206";"4900";"26.5";"20.8";"43";"15";"54";"49";"14";"13";"11"
"Park Berg en Bos";"BU02000207";"0";".";".";".";".";".";".";".";".";"."
"Wijk 03 Apeldoorn Zuidwest";"WK020003";"11400";"30.3";"24.3";"37";"21";"60";"31";"23";"7";"6"
"Ugchelen";"BU02000301";"2800";"33.9";"27.9";"37";"25";"56";"23";"30";"4";"4"
"Ugchelen-Zuid";"BU02000302";"100";"26.6";"20.6";"46";"14";"47";".";".";".";"."
"De Heeze";"BU02000303";"2000";"26.9";"21.8";"40";"16";"59";"44";"14";"10";"8"
"Westenenk";"BU02000304";"2900";"28.1";"21.8";"38";"20";"64";"35";"20";"10";"7"
"Winkewijert";"BU02000305";"1400";"28.6";"22.5";"35";"18";"65";"31";"19";"6";"4"
"De Bouwhof";"BU02000306";"1800";"32.6";"26.8";"35";"26";"55";"22";"31";"4";"4"
"Brouwersmolen-Noord";"BU02000307";"100";"24.7";"19.1";"47";"12";"61";".";".";".";"."
"Dennenheuvel";"BU02000308";"100";".";".";".";".";".";".";".";".";"."
"Holthuizen";"BU02000309";"100";"32.9";"25.9";"33";"30";"71";".";".";".";"."
"Brouwersmolen-Zuid";"BU02000310";"0";".";".";".";".";".";".";".";".";"."
"Wernem";"BU02000311";"0";".";".";".";".";".";".";".";".";"."
"Wijk 04 Apeldoorn Zuid";"WK020004";"14500";"25.0";"20.0";"42";"12";"59";"49";"11";"11";"9"
"Brummelhof";"BU02000401";"2800";"29.1";"23.4";"37";"20";"62";"41";"20";"8";"6"
"Vogelkwartier";"BU02000402";"4000";"24.0";"19.3";"43";"10";"59";"53";"8";"12";"9"
"Staatsliedenkwartier";"BU02000403";"2400";"22.8";"18.1";"47";"9";"54";"59";"7";"20";"14"
"Componistenkwartier";"BU02000404";"2800";"24.3";"19.4";"43";"11";"59";"44";"10";"9";"8"
"Rivierenkwartier";"BU02000405";"2300";"25.0";"20.1";"39";"11";"61";"43";"9";"8";"6"
"Malkenschoten";"BU02000406";"200";"23.9";"19.2";"52";"13";"51";"62";"14";".";"."
"Kayersmolen-Noord";"BU02000407";"100";"21.3";"18.4";"47";"6";"69";".";".";".";"."
"Kayersmolen-Midden";"BU02000408";"100";".";".";".";".";".";".";".";".";"."
"Kayersmolen-Zuid";"BU02000409";"0";".";".";".";".";".";".";".";".";"."
"Wijk 05 Apeldoorn Zuidoost";"WK020005";"19900";"27.9";"21.2";"37";"18";"59";"33";"17";"8";"6"
"Matendreef";"BU02000501";"3300";"27.3";"20.8";"37";"17";"60";"38";"14";"9";"7"
"Matenhorst";"BU02000502";"2300";"26.8";"20.3";"37";"15";"61";"39";"12";"10";"8"
"Matendonk";"BU02000503";"4000";"26.7";"20.3";"37";"16";"56";"33";"15";"9";"7"
"Matenhoeve";"BU02000504";"3700";"29.5";"22.4";"36";"22";"61";"22";"24";"5";"4"
"Matenveld";"BU02000505";"4500";"27.8";"20.8";"37";"19";"60";"26";"18";"7";"5"
"Matengaarde";"BU02000506";"2000";"29.2";"23.7";"37";"18";"54";"45";"16";"11";"9"
"Matenhoek";"BU02000507";"100";"29.5";"22.7";"45";"21";"63";".";".";".";"."
"Kuipersveld";"BU02000508";"0";".";".";".";".";".";".";".";".";"."
"Wijk 06 Apeldoorn Oost";"WK020006";"13300";"33.6";"24.7";"34";"28";"65";"24";"30";"6";"5"
"Welgelegen";"BU02000601";"3000";"32.8";"26.3";"33";"27";"63";"26";"28";"6";"5"
"Osseveld-West";"BU02000602";"1800";"31.3";"24.5";"38";"25";"58";"27";"30";"6";"4"
"Osseveld-Oost";"BU02000603";"3600";"35.0";"23.8";"30";"30";"71";"22";"30";"6";"4"
"Woudhuis";"BU02000604";"4600";"33.9";"24.7";"35";"28";"65";"24";"32";"6";"5"
"Groot Zonnehoeve";"BU02000605";"200";"38.5";"25.9";"33";"42";"64";"22";"43";"7";"3"
"De Voorwaarts";"BU02000606";"0";".";".";".";".";".";".";".";".";"."
"Bedrijvenpark Ecofactorij";"BU02000607";"0";".";".";".";".";".";".";".";".";"."
"Bedrijvenpark Oost";"BU02000608";"100";".";".";".";".";".";".";".";".";"."
"Wijk 07 Apeldoorn Noordoost";"WK020007";"15300";"26.8";"20.4";"41";"16";"56";"38";"15";"12";"9"
"Zevenhuizen";"BU02000701";"1900";"30.7";"24.8";"36";"23";"60";"30";"25";"5";"5"
"Sluisoord";"BU02000702";"3200";"24.0";"18.4";"46";"12";"48";"43";"11";"14";"10"
"De Mheen";"BU02000703";"2400";"27.1";"21.1";"37";"16";"60";"32";"15";"7";"5"
"Anklaar";"BU02000704";"2900";"25.6";"20.2";"43";"13";"53";"43";"11";"14";"11"
"Sprenkelaar";"BU02000705";"2800";"25.6";"19.0";"46";"14";"48";"42";"14";"17";"13"
"Bedrijvenpark Apeldoorn-Noord";"BU02000706";"100";"24.2";"20.7";"49";"9";".";".";".";".";"."
"Sleutelbloem";"BU02000707";"0";".";".";".";".";".";".";".";".";"."
"Zuidbroek-Mozaïek & Rooster";"BU02000708";"1900";"31.0";"21.2";"31";"22";"72";"31";"20";"9";"6"
"Zuidbroek-De Wellen";"BU02000709";"100";".";"23.4";".";".";".";".";".";".";"."
"Wijk 08 Apeldoorn Noord";"WK020008";"9700";"33.1";"26.6";"37";"24";"57";"38";"23";"9";"7"
"Parken";"BU02000801";"1600";"48.2";"36.7";"31";"40";"57";"20";"48";"6";"4"
"Spainkbos";"BU02000802";"1000";"33.4";"28.5";"32";"23";"57";"44";"20";"7";"5"
"Loolaan-Noord";"BU02000803";"1500";"34.1";"26.7";"33";"27";"61";"32";"24";"8";"6"
"Het Loo";"BU02000804";"1100";"34.1";"27.4";"33";"29";"58";"21";"33";"2";"2"
"Kerschoten-West";"BU02000805";"800";"26.7";"22.3";"45";"15";"52";"55";"11";"13";"10"
"Kerschoten";"BU02000806";"2800";"25.9";"21.2";"42";"13";"55";"50";"10";"12";"10"
"Paleispark";"BU02000807";"0";".";".";".";".";".";".";".";".";"."
"De Vlijt";"BU02000808";"200";"28.5";"22.1";"42";"20";"66";".";".";".";"."
"Stadhoudersmolen";"BU02000809";"100";"21.9";"16.5";"53";"8";"65";".";".";".";"."
"Hommelbrink";"BU02000810";"600";"32.6";"25.8";"36";"25";"55";"28";"30";"6";"4"
"Wijk 10 Uddel en omgeving";"WK020010";"1900";"26.4";"18.5";"48";"17";"61";"27";"31";"6";"4"
"Uddel";"BU02001001";"1200";"25.5";"17.6";"48";"16";"60";"28";"26";"4";"2"
"Agrarisch gebied Uddel";"BU02001002";"400";"26.7";"18.3";"47";"18";"64";"23";"44";"7";"6"
"Bosgebied Meerveld";"BU02001003";"300";"28.8";"22.0";"51";"22";"61";"26";"42";"13";"9"
"Bosgebied Nieuw Milligen";"BU02001004";"100";".";"22.6";".";".";".";".";".";".";"."
"Wijk 11 Hoog Soeren en omgeving";"WK020011";"300";"41.2";"35.3";"29";"35";"60";"27";"35";"6";"5"
"Orderbos";"BU02001101";"0";".";".";".";".";".";".";".";".";"."
"Hoog Soeren";"BU02001102";"200";"44.0";"39.1";"29";"34";"54";".";".";".";"."
"Bosgebied Hoog Soeren";"BU02001103";"0";".";".";".";".";".";".";".";".";"."
"Bosgebied Hoog Buurloo";"BU02001104";"100";".";".";".";".";".";".";".";".";"."
"Wijk 12 Hoenderloo en omgeving";"WK020012";"1200";"32.7";"27.7";"39";"22";"56";"32";"30";"6";"5"
"Hoenderloo";"BU02001201";"600";"29.9";"25.7";"41";"18";"56";"35";"26";"6";"5"
"Bosgebied Ugchelen";"BU02001202";"0";".";".";".";".";".";".";".";".";"."
"Bosgebied Hoenderloo";"BU02001203";"200";"32.3";"26.0";"37";"19";"57";".";".";".";"."
"Miggelenberg";"BU02001204";"300";"38.7";"32.8";"35";"32";"54";"25";"41";"5";"5"
"Wijk 13 Loenen en omgeving";"WK020013";"2500";"31.1";"25.0";"40";"21";"61";"33";"26";"6";"5"
"Het Goreld";"BU02001301";"200";"32.3";"24.8";"46";"22";"61";".";".";".";"."
"Loenen";"BU02001302";"1700";"29.3";"23.8";"41";"19";"59";"35";"20";"5";"5"
"Bosgebied Loenen";"BU02001303";"600";"36.0";"28.5";"33";"27";"65";"26";"41";"7";"6"
"Wijk 14 Beekbergen en omgeving";"WK020014";"3100";"31.4";"25.3";"41";"22";"55";"38";"25";"8";"6"
"Beekbergen";"BU02001401";"2000";"29.6";"23.9";"40";"19";"58";"38";"21";"5";"4"
"Bosgebied Beekbergen-West";"BU02001402";"300";"36.2";"29.4";"49";"29";"46";"32";"34";"19";"7"
"Agrarisch gebied Beekbergen";"BU02001403";"300";"33.6";"26.8";"40";"27";"51";"29";"45";"9";"5"
"Bosgebied Beekbergen-Zuid";"BU02001404";"600";"34.0";"27.5";"38";"27";"50";"46";"29";"15";"11"
"Wijk 15 Lieren en omgeving";"WK020015";"900";"30.3";"23.5";"41";"20";"58";"28";"33";"7";"5"
"Lieren";"BU02001501";"500";"28.4";"22.3";"44";"19";"53";"35";"29";"7";"5"
"Agrarisch gebied Lieren en Oosterhuizen";"BU02001502";"400";"31.9";"24.2";"40";"21";"63";"21";"38";"5";"4"
"Bosgebied Oosterhuizen";"BU02001503";"100";".";"27.5";".";".";".";".";".";".";"."
"Wijk 16 Klarenbeek en omgeving";"WK020016";"1500";"27.8";"21.9";"41";"16";"65";"30";"28";"7";"5"
"Woudhuis";"BU02001601";"200";"26.7";"21.3";"45";"12";"64";"35";"23";".";"."
"Klarenbeek";"BU02001602";"400";"27.2";"21.2";"36";"13";"61";"38";"18";"7";"6"
"De Hooilanden";"BU02001603";"600";"27.3";"21.7";"44";"17";"65";"24";"34";"6";"5"
"De Hooilanden en Oosterhuizen";"BU02001604";"200";"31.7";"25.2";"37";"22";"74";".";".";".";"."
"Wijk 17 Wenum, Wiesel en Beemte";"WK020017";"2300";"30.3";"23.7";"44";"21";"59";"32";"32";"9";"8"
"Wenum";"BU02001701";"200";"30.1";"24.0";"41";"24";"58";"35";"27";"8";"6"
"Beemte";"BU02001702";"100";".";"21.4";".";".";".";".";".";".";"."
"Bosgebied Wiesel";"BU02001703";"0";".";".";".";".";".";".";".";".";"."
"Agrarisch gebied Wiesel";"BU02001704";"700";"33.0";"26.4";"45";"24";"54";"35";"30";"15";"14"
"Agrarisch gebied Wenum";"BU02001705";"600";"30.6";"23.8";"42";"20";"58";"33";"30";"6";"4"
"Agrarisch gebied Beemte en Broekland";"BU02001706";"700";"27.1";"21.0";"47";"18";"66";"24";"40";"5";"5"
"Arnhem";"GM0202";"114200";"28.1";"22.0";"41";"18";"56";"51";"15";"16";"13"
"Wijk 01 Centrum";"WK020201";"4300";"25.5";"23.6";"47";"14";"55";"69";"8";"20";"14"
"Markt";"BU02020100";"1000";"25.7";"24.1";"46";"15";"57";"70";"8";"19";"16"
"Weverstraat";"BU02020101";"1400";"24.9";"22.9";"50";"14";"52";"69";"8";"23";"16"
"Rijnstraat";"BU02020102";"900";"23.5";"22.2";"48";"12";"58";"71";"6";"18";"12"
"Janssingel";"BU02020103";"100";"31.6";"28.5";"34";"24";"71";".";".";".";"."
"Stationsplein";"BU02020104";"200";"27.3";"23.5";"34";"14";"69";"64";"6";"14";"12"
"Utrechtsestraat";"BU02020170";"700";"27.1";"25.1";"49";"16";"48";"67";"9";"19";"13"
"Wijk 02 Spijkerkwartier";"WK020202";"5500";"25.1";"23.0";"48";"14";"56";"71";"8";"21";"16"
"Hommelstraat";"BU02020210";"1200";"24.6";"23.0";"48";"11";"53";"73";"5";"24";"20"
"Spijkerbuurt";"BU02020211";"2700";"24.0";"21.7";"50";"14";"57";"73";"7";"23";"17"
"Boulevardwijk";"BU02020212";"1600";"27.5";"25.0";"45";"18";"57";"66";"11";"17";"13"
"Wijk 03 Arnhemse broek";"WK020203";"4600";"21.0";"16.6";"54";"9";"48";"67";"6";"28";"21"
"Bij de John Frostbrug";"BU02020313";"100";".";".";".";".";".";".";".";".";"."
