"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen"
"Ten Boer";"GM0009";"3017";"174";"91";"9";".";".";"78";"22";".";".";"0"
"Wijk 00 West";"WK000900";"2424";"178";"89";"11";".";".";"77";"23";".";".";"0"
"Ten Boer";"BU00090000";"1791";"166";"86";"14";".";".";"74";"26";".";".";"0"
"Garmerwolde";"BU00090001";"185";"212";"99";"1";".";".";"81";"19";".";".";"0"
"Thesinge";"BU00090002";"179";"217";"100";"0";".";".";"83";"17";".";".";"0"
"Sint-Annen";"BU00090003";"57";"201";"100";"0";".";".";"86";"14";".";".";"0"
"Achter-Thesinge en Bovenrijge";"BU00090005";"30";".";"100";"0";".";".";"100";"0";".";".";"0"
"Verspr.h. ten noorden van het Eemskanaal";"BU00090009";"182";"224";"100";"0";".";".";"93";"7";".";".";"0"
"Wijk 01 Oost";"WK000901";"593";"161";"100";"0";".";".";"80";"20";".";".";"0"
"Ten Post";"BU00090100";"299";"152";"99";"1";".";".";"76";"24";".";".";"0"
"Winneweer (gedeeltelijk)";"BU00090101";"41";"177";"100";"0";".";".";"95";"5";".";".";"0"
"Woltersum";"BU00090102";"142";"160";"100";"0";".";".";"73";"27";".";".";"0"
"Wittewierum";"BU00090104";"25";".";"100";"0";".";".";"100";"0";".";".";"0"
"Lellens";"BU00090106";"21";".";"100";"0";".";".";"95";"5";".";".";"0"
"Verspr.h. ten noorden van het Eemskanaal";"BU00090109";"65";".";"100";"0";".";".";"91";"9";".";".";"0"
"Delfzijl";"GM0010";"12229";"132";"78";"22";".";".";"61";"39";".";".";"0"
"Wijk 00 Stad";"WK001000";"8473";"126";"70";"30";".";".";"54";"45";".";".";"0"
"Delfzijl-Centrum";"BU00100000";"627";"109";"18";"82";".";".";"38";"61";".";".";"0"
"Farmsum";"BU00100001";"1113";"144";"77";"23";".";".";"69";"31";".";".";"0"
"Delfzijl-Noord";"BU00100002";"2992";"114";"63";"37";".";".";"37";"63";".";".";"0"
"Delfzijl-West";"BU00100003";"1903";"132";"67";"33";".";".";"64";"36";".";".";"0"
"Fivelzigt";"BU00100004";"635";"164";"100";"0";".";".";"87";"13";".";".";"0"
"Tuikwerd";"BU00100005";"1203";"122";"96";"4";".";".";"60";"40";".";".";"0"
"Wijk 01 Land";"WK001001";"307";"181";"100";"0";".";".";"91";"9";".";".";"0"
"Meedhuizen";"BU00100103";"163";"172";"100";"0";".";".";"93";"7";".";".";"0"
"Uitwierde";"BU00100104";"30";".";"100";"0";".";".";"90";"10";".";".";"0"
"Verspr.h. Eemskanaal (ten zuiden)";"BU00100107";"107";"185";"100";"0";".";".";"91";"9";".";".";"0"
"Industrieterrein";"BU00100108";"6";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen in het noorden";"BU00100109";"1";".";".";".";".";".";".";".";".";".";"."
"Wijk 02";"WK001002";"1717";"136";"95";"5";".";".";"72";"28";".";".";"0"
"Woldendorp";"BU00100200";"416";"125";"99";"1";".";".";"75";"25";".";".";"0"
"Termunten";"BU00100201";"177";"136";"98";"2";".";".";"88";"12";".";".";"0"
"Termunterzijl";"BU00100202";"127";"104";"100";"0";".";".";"54";"46";".";".";"0"
"Borgsweer";"BU00100203";"60";"153";"100";"0";".";".";"92";"8";".";".";"0"
"Wagenborgen";"BU00100205";"824";"143";"90";"10";".";".";"67";"33";".";".";"0"
"Verspreide huizen Wagenborgen";"BU00100207";"30";".";"100";"0";".";".";"90";"10";".";".";"0"
"Verspreide huizen Termunten";"BU00100209";"83";"161";"96";"4";".";".";"76";"22";".";".";"2"
"Wijk 03";"WK001003";"1732";"146";"96";"4";".";".";"79";"21";".";".";"0"
"Bierum";"BU00100300";"310";"139";"81";"19";".";".";"65";"35";".";".";"0"
"Spijk";"BU00100301";"533";"136";"99";"1";".";".";"78";"22";".";".";"0"
"Holwierde";"BU00100302";"419";"148";"99";"1";".";".";"80";"20";".";".";"0"
"Godlinze";"BU00100303";"122";"135";"97";"3";".";".";"80";"20";".";".";"0"
"Losdorp";"BU00100304";"79";"165";"100";"0";".";".";"84";"16";".";".";"0"
"Krewerd";"BU00100305";"43";".";"100";"0";".";".";"93";"7";".";".";"0"
"Verspreide huizen Bierum";"BU00100309";"226";"186";"100";"0";".";".";"92";"8";".";".";"0"
"Groningen";"GM0014";"97031";"157";"36";"64";".";".";"41";"58";".";".";"1"
"Wijk 00 Binnenstad";"WK001400";"9341";"162";"17";"83";".";".";"27";"69";".";".";"4"
"Stadscentrum";"BU00140000";"1159";"173";"16";"84";".";".";"25";"68";".";".";"7"
"Binnenstad-Zuid";"BU00140001";"3266";"165";"11";"89";".";".";"25";"70";".";".";"5"
"Binnenstad-Oost";"BU00140002";"1634";"142";"21";"79";".";".";"22";"74";".";".";"4"
"Binnenstad-West";"BU00140003";"849";"168";"15";"85";".";".";"24";"75";".";".";"1"
"Binnenstad-Noord";"BU00140004";"2433";"166";"23";"77";".";".";"36";"63";".";".";"1"
"Wijk 01 Schilders- en Zeeheldenwijk";"WK001401";"11776";"146";"29";"71";".";".";"35";"64";".";".";"1"
"Schildersbuurt";"BU00140100";"3196";"188";"25";"75";".";".";"48";"51";".";".";"1"
"Zeeheldenbuurt";"BU00140101";"2306";"139";"9";"91";".";".";"43";"56";".";".";"0"
"Friesestraatweg";"BU00140102";"22";".";"68";"32";".";".";"45";"50";".";".";"5"
"Kostverloren";"BU00140103";"1262";"134";"14";"86";".";".";"29";"70";".";".";"1"
"Vinkhuizen-Zuid";"BU00140104";"2220";"136";"44";"56";".";".";"22";"78";".";".";"0"
"Vinkhuizen-Noord";"BU00140105";"2727";"126";"42";"58";".";".";"26";"74";".";".";"0"
"Hoendiep";"BU00140106";"43";".";"86";"14";".";".";"65";"35";".";".";"0"
"Wijk 02 Oranjewijk";"WK001402";"13208";"138";"29";"71";".";".";"31";"69";".";".";"0"
"Oranjebuurt";"BU00140200";"3350";"175";"33";"67";".";".";"49";"50";".";".";"1"
"Concordiabuurt";"BU00140201";"910";"123";"10";"90";".";".";"24";"75";".";".";"2"
"Selwerd";"BU00140202";"3720";"113";"26";"74";".";".";"19";"81";".";".";"0"
"Paddepoel-Zuid";"BU00140203";"2035";"138";"32";"68";".";".";"24";"75";".";".";"0"
"Paddepoel-Noord";"BU00140204";"3024";"126";"30";"70";".";".";"28";"72";".";".";"0"
"Noorderhoogebrug";"BU00140205";"136";"212";"85";"15";".";".";"79";"21";".";".";"0"
"Universiteitscomplex";"BU00140206";"8";".";".";".";".";".";".";".";".";".";"."
"Koningslaagte";"BU00140207";"25";".";"100";"0";".";".";"72";"28";".";".";"0"
"Wijk 03 Korrewegwijk";"WK001403";"9287";"127";"15";"85";".";".";"28";"72";".";".";"0"
"West-Indische buurt";"BU00140300";"1095";"113";"22";"78";".";".";"13";"87";".";".";"0"
"De Hoogte";"BU00140301";"2044";"122";"23";"77";".";".";"12";"87";".";".";"1"
"Oost-Indische buurt";"BU00140302";"3400";"125";"10";"90";".";".";"26";"73";".";".";"0"
"Korrewegbuurt";"BU00140303";"2748";"142";"12";"88";".";".";"46";"53";".";".";"0"
"Wijk 04 Oosterparkwijk";"WK001404";"7079";"126";"20";"80";".";".";"27";"71";".";".";"2"
"Gorechtbuurt";"BU00140400";"3032";"131";"10";"90";".";".";"35";"64";".";".";"1"
"Oosterparkbuurt";"BU00140401";"1498";"117";"21";"79";".";".";"7";"93";".";".";"0"
"Bloemenbuurt";"BU00140402";"1324";"117";"40";"60";".";".";"25";"74";".";".";"1"
"Florabuurt";"BU00140403";"818";"130";"23";"77";".";".";"39";"61";".";".";"0"
"Damsterbuurt";"BU00140404";"407";"149";"13";"87";".";".";"21";"51";".";".";"28"
"Wijk 05 Oosterpoortwijk";"WK001405";"4577";"186";"39";"61";".";".";"45";"54";".";".";"2"
"Oosterpoortbuurt";"BU00140500";"2693";"156";"36";"64";".";".";"40";"59";".";".";"2"
"Industriebuurt";"BU00140501";"1403";"216";"28";"72";".";".";"46";"53";".";".";"2"
"Euvelgunne";"BU00140502";"26";".";"81";"19";".";".";"50";"50";".";".";"0"
"Middelbert";"BU00140503";"70";"287";"94";"6";".";".";"79";"19";".";".";"3"
"Engelbert";"BU00140504";"374";"233";"93";"7";".";".";"72";"28";".";".";"0"
"Roodehaan";"BU00140505";"11";".";".";".";".";".";".";".";".";".";"."
"Woonschepenhaven";"BU00140509";"0";".";".";".";".";".";".";".";".";".";"."
"Wijk 06 Herewegwijk en Helpman";"WK001406";"12771";"184";"27";"73";".";".";"53";"47";".";".";"0"
"Herewegbuurt";"BU00140600";"1374";"164";"22";"78";".";".";"45";"55";".";".";"0"
"Rivierenbuurt";"BU00140601";"1685";"155";"2";"98";".";".";"50";"50";".";".";"0"
"Helpman-West";"BU00140602";"1462";"171";"20";"80";".";".";"59";"41";".";".";"0"
"Villabuurt-Oost";"BU00140603";"480";"363";"52";"48";".";".";"54";"46";".";".";"0"
"Helpman-Oost";"BU00140604";"1755";"179";"18";"82";".";".";"60";"40";".";".";"0"
"Coendersborg";"BU00140605";"1691";"212";"49";"51";".";".";"68";"31";".";".";"0"
"De Wijert-Noord";"BU00140606";"2783";"121";"14";"86";".";".";"28";"72";".";".";"0"
"De Wijert-Zuid";"BU00140607";"1265";"227";"63";"37";".";".";"77";"23";".";".";"0"
"Villabuurt-West";"BU00140608";"276";"458";"69";"31";".";".";"89";"11";".";".";"0"
"Woonwagenkamp";"BU00140609";"0";".";".";".";".";".";".";".";".";".";"."
"Wijk 07 Stadsparkwijk";"WK001407";"8327";"188";"33";"67";".";".";"43";"55";".";".";"2"
"Laanhuizen";"BU00140700";"625";"143";"14";"86";".";".";"64";"36";".";".";"0"
"Grunobuurt";"BU00140701";"1146";"136";"3";"97";".";".";"41";"58";".";".";"1"
"Corpus Den Hoorn-Noord";"BU00140702";"2662";"136";"18";"82";".";".";"29";"70";".";".";"1"
"Corpus Den Hoorn-Zuid";"BU00140703";"3283";"236";"46";"54";".";".";"44";"53";".";".";"3"
"Stadspark";"BU00140704";"572";"293";"100";"0";".";".";"83";"17";".";".";"0"
"Peizerweg";"BU00140705";"11";".";".";".";".";".";".";".";".";".";"."
"Woonwagenkamp";"BU00140709";"28";".";"100";"0";".";".";"11";"89";".";".";"0"
"Wijk 08 Hoogkerk";"WK001408";"6042";"196";"87";"13";".";".";"67";"32";".";".";"0"
"Hoogkerk-Dorp";"BU00140800";"818";"147";"82";"18";".";".";"39";"60";".";".";"1"
"Hoogkerk-Zuid";"BU00140801";"2005";"146";"83";"17";".";".";"55";"45";".";".";"0"
"Vierverlaten";"BU00140802";"63";"171";"92";"8";".";".";"60";"40";".";".";"0"
"Leegkerk";"BU00140803";"1228";"241";"99";"1";".";".";"85";"15";".";".";"0"
"Dorkwerd";"BU00140804";"825";"271";"95";"5";".";".";"89";"11";".";".";"0"
"Bangeweer";"BU00140805";"522";"188";"87";"13";".";".";"75";"25";".";".";"0"
"De Held";"BU00140806";"561";"219";"75";"25";".";".";"76";"24";".";".";"0"
"Zuidwending";"BU00140807";"20";".";"100";"0";".";".";"65";"35";".";".";"0"
"Wijk 09 Noorddijk";"WK001409";"14623";"148";"71";"29";".";".";"56";"44";".";".";"0"
"Oosterhoogebrug";"BU00140900";"1499";"190";"81";"19";".";".";"61";"39";".";".";"0"
"Lewenborg-Zuid";"BU00140901";"1437";"123";"66";"34";".";".";"49";"51";".";".";"0"
"Lewenborg-Noord";"BU00140902";"1816";"123";"53";"47";".";".";"35";"65";".";".";"0"
"Lewenborg-West";"BU00140903";"905";"135";"72";"28";".";".";"78";"22";".";".";"0"
"Bovenstreek";"BU00140904";"88";"294";"99";"1";".";".";"92";"8";".";".";"0"
"Beijum-Oost";"BU00140905";"3084";"118";"55";"45";".";".";"34";"66";".";".";"0"
"Beijum-West";"BU00140906";"2996";"126";"70";"30";".";".";"58";"42";".";".";"0"
"Ulgersmabuurt";"BU00140907";"2005";"214";"97";"3";".";".";"84";"16";".";".";"0"
"Ruischerbrug";"BU00140908";"793";"195";"99";"1";".";".";"85";"15";".";".";"0"
"Grootegast";"GM0015";"4857";"192";"93";"7";".";".";"71";"28";".";".";"1"
"Wijk 00 Grootegast";"WK001500";"2153";"184";"91";"9";".";".";"66";"34";".";".";"0"
"Grootegast";"BU00150000";"1406";"169";"86";"14";".";".";"58";"42";".";".";"0"
"Doezum";"BU00150001";"277";"175";"98";"2";".";".";"74";"26";".";".";"0"
"Sebaldeburen";"BU00150002";"129";"197";"100";"0";".";".";"77";"23";".";".";"0"
"Het Peebos";"BU00150006";"57";"268";"100";"0";".";".";"88";"12";".";".";"0"
"Verspr.h. ten zuiden van Sebaldeburen";"BU00150007";"88";"230";"100";"0";".";".";"75";"25";".";".";"0"
"Verspr.h. ten zuiden van Grootegast";"BU00150008";"117";"272";"100";"0";".";".";"90";"10";".";".";"0"
"Overige verspreide huizen";"BU00150009";"79";"271";"100";"0";".";".";"89";"11";".";".";"0"
"Wijk 01 Lutjegast";"WK001501";"434";"199";"99";"1";".";".";"80";"20";".";".";"0"
"Lutjegast";"BU00150100";"289";"177";"99";"1";".";".";"74";"26";".";".";"0"
"Verspreide huizen Lutjegast";"BU00150109";"145";"263";"100";"0";".";".";"91";"9";".";".";"0"
"Wijk 02 Opende";"WK001502";"1116";"209";"98";"2";".";".";"77";"23";".";".";"0"
"Opende-West";"BU00150200";"440";"181";"97";"3";".";".";"68";"32";".";".";"0"
"Opende-Oost";"BU00150201";"97";"234";"100";"0";".";".";"88";"12";".";".";"0"
"Kornhorn";"BU00150202";"222";"178";"99";"1";".";".";"73";"27";".";".";"0"
"Verspreide huizen ten zuiden van Opende";"BU00150209";"357";"263";"99";"1";".";".";"89";"11";".";".";"0"
"Wijk 03 Oldekerk";"WK001503";"1154";"187";"91";"9";".";".";"73";"25";".";".";"2"
"Niekerk";"BU00150300";"618";"171";"84";"16";".";".";"63";"33";".";".";"4"
"Oldekerk";"BU00150301";"333";"189";"98";"2";".";".";"83";"17";".";".";"0"
"Verspreide huizen Oldekerk";"BU00150309";"203";"245";"100";"0";".";".";"89";"11";".";".";"0"
"Haren";"GM0017";"8628";"261";"77";"23";".";".";"65";"35";".";".";"0"
"Wijk 00 Centrum";"WK001700";"7897";"253";"75";"25";".";".";"64";"36";".";".";"0"
"Haren";"BU00170000";"4594";"254";"67";"33";".";".";"65";"35";".";".";"0"
"Oosterhaar";"BU00170001";"2159";"194";"90";"10";".";".";"64";"36";".";".";"0"
"Voorveld";"BU00170002";"63";"667";"98";"2";".";".";"83";"17";".";".";"0"
"Harenermolen";"BU00170003";"142";"412";"90";"10";".";".";"77";"23";".";".";"0"
"Glimmen";"BU00170004";"462";"335";"97";"3";".";".";"70";"29";".";".";"1"
"Hemmen";"BU00170005";"477";"349";"55";"45";".";".";"47";"53";".";".";"0"
"Wijk 01 Land";"WK001701";"731";"346";"92";"8";".";".";"75";"24";".";".";"1"
"Noordlaren";"BU00170100";"174";"312";"97";"3";".";".";"76";"23";".";".";"1"
"Onnen";"BU00170101";"185";"281";"90";"10";".";".";"66";"34";".";".";"0"
"Paterswolde (gedeeltelijk)";"BU00170102";"49";".";"55";"45";".";".";"71";"29";".";".";"0"
"Essen";"BU00170103";"35";".";"100";"0";".";".";"89";"11";".";".";"0"
"Verspr.h. ten W. van Noord-Willemskanaal";"BU00170106";"46";".";"96";"4";".";".";"83";"17";".";".";"0"
"Verspreide huizen op de Hondsrug";"BU00170107";"133";"392";"95";"5";".";".";"80";"18";".";".";"2"
"Verspreide huizen Onner Esch";"BU00170108";"99";"396";"99";"1";".";".";"80";"20";".";".";"0"
"Verspr.h. ten oosten van de Hondsrug";"BU00170109";"10";".";".";".";".";".";".";".";".";".";"."
"Hoogezand-Sappemeer";"GM0018";"15769";"134";"71";"29";".";".";"55";"45";".";".";"0"
"Wijk 01 Foxham en Hoogezand-Noord";"WK001801";"3614";"109";"49";"51";".";".";"48";"52";".";".";"0"
"Noorderpark";"BU00180101";"1892";"90";"37";"63";".";".";"34";"66";".";".";"0"
"Westerpark";"BU00180102";"493";"130";"68";"32";".";".";"66";"34";".";".";"0"
"Beukemabuurt";"BU00180103";"160";"105";"51";"49";".";".";"41";"59";".";".";"0"
"Oosterpark";"BU00180104";"243";"187";"91";"9";".";".";"86";"14";".";".";"0"
"Martenshoek";"BU00180105";"325";"128";"35";"65";".";".";"57";"43";".";".";"0"
"Industriegebied Martenshoek";"BU00180106";"244";"142";"98";"2";".";".";"87";"13";".";".";"0"
"Stadshart-Noord";"BU00180107";"257";"87";"27";"73";".";".";"36";"64";".";".";"0"
"Wijk 02 Hoogezand-Zuid";"WK001802";"5450";"103";"69";"31";".";".";"41";"59";".";".";"0"
"Spoorstraat en Kieldiep";"BU00180201";"790";"87";"49";"51";".";".";"43";"57";".";".";"0"
"Burgemeester van Royenstraat en omgeving";"BU00180202";"323";"138";"92";"8";".";".";"55";"45";".";".";"0"
"Gorecht-Noord";"BU00180203";"903";"91";"23";"77";".";".";"20";"80";".";".";"0"
"Gorechtpark";"BU00180204";"0";".";".";".";".";".";".";".";".";".";"."
"Gorecht-West";"BU00180205";"1059";"89";"95";"5";".";".";"26";"74";".";".";"0"
"Woldwijck-West";"BU00180206";"787";"127";"100";"0";".";".";"75";"25";".";".";"0"
"Woldwijck-Midden";"BU00180207";"847";"89";"52";"48";".";".";"27";"73";".";".";"0"
"Woldwijck-Oost";"BU00180208";"555";"118";"99";"1";".";".";"57";"43";".";".";"0"
"Kropswolderpolder";"BU00180209";"0";".";".";".";".";".";".";".";".";".";"."
"Gorechtpark-Oost";"BU00180210";"186";"162";"61";"39";".";".";"61";"39";".";".";"0"
"Wijk 03 Kalkwijk";"WK001803";"1292";"200";"81";"19";".";".";"79";"21";".";".";"0"
"Stadshart-Zuid";"BU00180301";"185";"156";"0";"100";".";".";"49";"51";".";".";"0"
"Zuiderpark";"BU00180302";"371";"196";"97";"3";".";".";"75";"25";".";".";"0"
"De Dreven";"BU00180303";"307";"246";"85";"15";".";".";"97";"3";".";".";"0"
"De Vosholen-West";"BU00180304";"364";"191";"99";"1";".";".";"81";"19";".";".";"0"
"Kalkwijk-Zuid";"BU00180305";"65";"211";"100";"0";".";".";"94";"6";".";".";"0"
"Kalkwijk-Noord";"BU00180306";"0";".";".";".";".";".";".";".";".";".";"."
"Wijk 05 Kiel-Windeweer";"WK001805";"355";"193";"97";"3";".";".";"88";"12";".";".";"0"
"Kiel-Windeweer";"BU00180501";"280";"190";"97";"3";".";".";"87";"13";".";".";"0"
"Kiel-Windeweer Buiten";"BU00180502";"75";"207";"96";"4";".";".";"92";"8";".";".";"0"
"Wijk 06 Kropswolde";"WK001806";"680";"363";"99";"1";".";".";"88";"12";".";".";"0"
"Recreatiegebied Meerwijck";"BU00180601";"68";".";"97";"3";".";".";"82";"16";".";".";"1"
"Polder Kropswolde";"BU00180602";"42";".";"100";"0";".";".";"93";"7";".";".";"0"
"Meerwijck";"BU00180603";"419";"425";"100";"0";".";".";"93";"7";".";".";"0"
"Polder Wolfsbarge";"BU00180604";"41";".";"100";"0";".";".";"90";"10";".";".";"0"
"Kropswolderbuitenpolder";"BU00180605";"32";".";"84";"16";".";".";"72";"28";".";".";"0"
"Kropswolde";"BU00180606";"78";"205";"100";"0";".";".";"69";"31";".";".";"0"
"Wijk 07 Foxhol";"WK001807";"445";"106";"82";"18";".";".";"60";"40";".";".";"0"
"Foxhol";"BU00180701";"391";"99";"80";"20";".";".";"57";"43";".";".";"0"
"Foxholsterbosch";"BU00180702";"54";"159";"96";"4";".";".";"85";"15";".";".";"0"
"Wijk 08 Westerbroek";"WK001808";"365";"179";"99";"1";".";".";"80";"20";".";".";"0"
"Westerbroekstermolenpolder";"BU00180801";"131";"215";"100";"0";".";".";"87";"13";".";".";"0"
"Westerbroekstermadepolder";"BU00180802";"0";".";".";".";".";".";".";".";".";".";"."
"Industriegebied Winschoterdiep";"BU00180803";"66";"170";"94";"6";".";".";"91";"9";".";".";"0"
"Westerbroek";"BU00180804";"168";"157";"99";"1";".";".";"70";"30";".";".";"0"
"Wijk 09 Waterhuizen";"WK001809";"15";".";".";".";".";".";".";".";".";".";"."
"Waterhuizen";"BU00180901";"15";".";".";".";".";".";".";".";".";".";"."
"Wijk 11 Sappemeer";"WK001811";"3553";"136";"78";"22";".";".";"62";"37";".";".";"1"
"Magrietpark";"BU00181101";"958";"112";"64";"36";".";".";"41";"57";".";".";"2"
"Sappemeer-Oost";"BU00181102";"325";"147";"82";"18";".";".";"74";"26";".";".";"0"
"Boswijck-West";"BU00181103";"602";"106";"75";"25";".";".";"55";"45";".";".";"0"
"Boswijck-Oost";"BU00181104";"324";"118";"58";"42";".";".";"46";"54";".";".";"0"
"Compagniesterpark";"BU00181105";"713";"153";"89";"11";".";".";"78";"22";".";".";"0"
"De Vosholen-Oost";"BU00181106";"165";"224";"99";"1";".";".";"93";"7";".";".";"0"
"Nieuw Woelwijck";"BU00181107";"105";"188";"100";"0";".";".";"91";"9";".";".";"0"
"Polder De Nijverheid";"BU00181108";"22";".";"100";"0";".";".";"91";"9";".";".";"0"
"Sappemeer-Noord";"BU00181109";"339";"161";"99";"1";".";".";"79";"21";".";".";"0"
"Leek";"GM0022";"8367";"183";"86";"14";".";".";"64";"36";".";".";"0"
"Wijk 00 Leek";"WK002200";"4696";"172";"84";"16";".";".";"57";"43";".";".";"0"
"Diepswal";"BU00220001";"262";"268";"100";"0";".";".";"89";"11";".";".";"0"
"Centrum Leek en omgeving";"BU00220002";"2075";"145";"68";"32";".";".";"51";"49";".";".";"0"
"Rodenburg en omgeving";"BU00220003";"1808";"155";"94";"6";".";".";"51";"49";".";".";"0"
"Nienoordsrand";"BU00220004";"151";"326";"100";"0";".";".";"91";"9";".";".";"0"
"Buitengebied ten oosten van Leek";"BU00220008";"6";".";".";".";".";".";".";".";".";".";"."
"Buitengebied ten zuiden van Leek";"BU00220009";"394";"245";"100";"0";".";".";"89";"11";".";".";"0"
"Wijk 01 Zevenhuizen";"WK002201";"1123";"232";"96";"4";".";".";"79";"21";".";".";"0"
