"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen"
"Onderwerpen";"Codering";"Woningvoorraad";"Gemiddelde woningwaarde";"Woningen naar type";"Woningen naar type";"Woningen naar bewoning";"Woningen naar bewoning";"Woningen naar eigendom";"Woningen naar eigendom";"Woningen naar eigendom";"Woningen naar eigendom";"Woningen naar eigendom"
"Onderwerpen";"Codering";"Woningvoorraad";"Gemiddelde woningwaarde";"Percentage eengezinswoning";"Percentage meergezinswoning";"Percentage bewoond";"Percentage onbewoond";"Koopwoningen";"Huurwoningen";"Huurwoningen";"Huurwoningen";"Eigendom onbekend"
"Onderwerpen";"Codering";"Woningvoorraad";"Gemiddelde woningwaarde";"Percentage eengezinswoning";"Percentage meergezinswoning";"Percentage bewoond";"Percentage onbewoond";"Koopwoningen";"Huurwoningen totaal";"In bezit woningcorporatie";"In bezit overige verhuurders";"Eigendom onbekend"
"Wijken en buurten";"code";"aantal";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%";"%";"%"
"Nederland";"NL00";"7535315";"211";"65";"35";".";".";"56";"43";".";".";"1"
"Appingedam";"GM0003";"5840";"142";"72";"28";".";".";"48";"52";".";".";"0"
"Wijk 00";"WK000300";"5840";"142";"72";"28";".";".";"48";"52";".";".";"0"
"Appingedam-Centrum";"BU00030000";"1464";"128";"52";"48";".";".";"40";"60";".";".";"0"
"Appingedam-West";"BU00030001";"1329";"175";"92";"8";".";".";"64";"36";".";".";"0"
"Appingedam-Oost";"BU00030002";"2818";"127";"71";"29";".";".";"40";"60";".";".";"0"
"Verspr.h. Damsterdiep en Eemskanaal";"BU00030007";"122";"260";"98";"2";".";".";"96";"4";".";".";"0"
"Verspr.h. ten zuiden van Eemskanaal";"BU00030008";"42";".";"100";"0";".";".";"93";"7";".";".";"0"
"Verspr.h. ten N. van het Damsterdiep";"BU00030009";"65";".";"94";"6";".";".";"78";"22";".";".";"0"
"Bedum";"GM0005";"4500";"176";"86";"14";".";".";"67";"32";".";".";"0"
"Wijk 00";"WK000500";"4500";"176";"86";"14";".";".";"67";"32";".";".";"0"
"Bedum";"BU00050000";"3446";"168";"82";"18";".";".";"64";"35";".";".";"0"
"Verspreide huizen Bedum";"BU00050001";"232";"236";"100";"0";".";".";"82";"18";".";".";"0"
"Zuidwolde";"BU00050002";"387";"201";"97";"3";".";".";"72";"28";".";".";"0"
"Verspreide huizen Zuidwolde";"BU00050003";"49";".";"90";"10";".";".";"86";"14";".";".";"0"
"Onderdendam";"BU00050004";"242";"159";"98";"2";".";".";"74";"26";".";".";"0"
"Verspreide huizen Onderdendam";"BU00050005";"40";".";"100";"0";".";".";"90";"10";".";".";"0"
"Noordwolde";"BU00050006";"58";"221";"97";"3";".";".";"84";"14";".";".";"2"
"Verspreide huizen Noordwolde";"BU00050007";"46";".";"100";"0";".";".";"89";"11";".";".";"0"
"Bellingwedde";"GM0007";"4136";"160";"93";"7";".";".";"72";"26";".";".";"1"
"Wijk 00 Bellingwolde";"WK000700";"1895";"155";"94";"6";".";".";"72";"27";".";".";"2"
"Bellingwolde";"BU00070000";"1018";"145";"94";"6";".";".";"68";"32";".";".";"0"
"Vriescheloo";"BU00070001";"142";"190";"73";"27";".";".";"69";"13";".";".";"18"
"Rhederweg-West";"BU00070002";"210";"135";"99";"1";".";".";"68";"32";".";".";"0"
"Vriescheloo-Zuid";"BU00070004";"207";"139";"100";"0";".";".";"66";"34";".";".";"0"
"Oudeschans";"BU00070005";"52";".";"96";"4";".";".";"81";"19";".";".";"0"
"Klein-Ulsda";"BU00070006";"23";".";"100";"0";".";".";"96";"4";".";".";"0"
"Verspr.h. ten Z.O. van Bellingwolde";"BU00070007";"165";"203";"99";"1";".";".";"96";"4";".";".";"0"
"Verspr.h. ten zuidoosten van Vriescheloo";"BU00070008";"51";"239";"96";"4";".";".";"88";"12";".";".";"0"
"Verspreide huizen Westerwoldse A";"BU00070009";"27";".";"93";"7";".";".";"93";"7";".";".";"0"
"Wijk 01 Oost";"WK000701";"452";"178";"100";"0";".";".";"83";"15";".";".";"2"
"Veelerveen";"BU00070100";"264";"164";"99";"1";".";".";"78";"20";".";".";"2"
"Rhederbrug-Oost";"BU00070101";"62";"171";"100";"0";".";".";"94";"6";".";".";"0"
"Verspr.h. ten noordoosten van Rhederbrug";"BU00070108";"49";".";"100";"0";".";".";"90";"6";".";".";"4"
"Verspreide huizen Veelerveen";"BU00070109";"77";"202";"100";"0";".";".";"84";"10";".";".";"5"
"Wijk 02 Blijham";"WK000702";"1789";"162";"91";"9";".";".";"70";"29";".";".";"1"
"Blijham";"BU00070200";"992";"143";"85";"15";".";".";"60";"38";".";".";"2"
"Morige";"BU00070201";"172";"196";"99";"1";".";".";"94";"6";".";".";"0"
"Wedde";"BU00070202";"284";"145";"99";"1";".";".";"63";"37";".";".";"0"
"Wedderheide";"BU00070203";"103";"214";"100";"0";".";".";"94";"6";".";".";"0"
"Wedderveer";"BU00070204";"58";"211";"97";"3";".";".";"91";"9";".";".";"0"
"Verspreide huizen in de polder Blijham";"BU00070206";"24";".";"100";"0";".";".";"100";"0";".";".";"0"
"Verspreide huizen ten westen van Blijham";"BU00070207";"57";".";"96";"4";".";".";"89";"11";".";".";"0"
"Verspreide huizen Hoorn";"BU00070208";"57";".";"100";"0";".";".";"86";"14";".";".";"0"
"Verspreide huizen in de Weddermarke";"BU00070209";"42";".";"100";"0";".";".";"95";"5";".";".";"0"
